brand,Nike,Adidas,Skechers,NewBalance,Puma
Nike,0,2.47,4.73,3.73,3.13
Adidas,2.47,0,4.67,3.47,3.33
Skechers,4.73,4.67,0,3.47,4.27
NewBalance,3.73,3.47,3.47,0,4.20
Puma,3.13,3.33,4.27,4.20,0
